"Year","CITATION","SAMPLE NAME","UNIQUE_ID","LOCATION","ROCK TYPE","AGE (MIN.)","AGE (MAX.)","SIO2(WT%)","TIO2(WT%)","AL2O3(WT%)","FE2O3(WT%)","FEO(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","K2O(WT%)","P2O5(WT%)",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.043","","","","","55.332","","","","42.069",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–1","","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","0.041","","","","","54.645","","","","42.354",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.375","","0.273","","41.747",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.125","","0.261","","41.493",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.966","","0.227","","42.93",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.315","","0.204","","42.891",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.391","","0.319","","42.189",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","53.64","","0.229","","42.289",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.863","","","","43.075",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.56","","0.172","","42.592",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","55.258","","","","42.641",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","54.824","","","","42.324",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","0.037","","","54.627","","","","42.765",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","53.627","","0.259","","41.727",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","55.19","","0.228","","42.966",
"2018"," [22156] WUDARSKA A. (2018)","samp. AL10–2","527334","NORTH ATLANTIC CRATON_ARCHEAN / ISUA GREENSTONE BELT / EASTERN ISUA TECTONIC DOMAIN","SEDIMENTARY ROCK","","","","","","","","53.976","","0.195","","41.927",
